PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
2802309,16000001,10,2016-01-01T00:00:00,"400 Block North Shore DR Pittsburgh, PA 15212",Y,North Shore,1,HARRASSMENT/THREAT/ATTEMPT/PHY,2702 Aggravated Assault. / 2709(a) Harassment. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,2205,1,6,-80.01233658,40.44626305
2803174,16004547,11,2016-01-01T00:01:00,"5400 Block Carnegie ST Pittsburgh, PA 15201",N,Upper Lawrenceville,2,THEFT BY DECEPTION,3922 Theft by Deception.,1011,7,2,-79.950295,40.48228989
2801809,16000367,4,2016-01-01T00:10:00,"500 Block Mt Pleasant RD Pittsburgh, PA 15214",N,Northview Heights,1,DISCHARGE OF FIREARM INTO OCC.STRUCTURE,2707.1 Discharge of a Firearm into Occupied Structure,2609,1,1,-80.00096629,40.47865057
2802315,16000035,10,2016-01-01T00:15:00,"300 Block Wood ST Pittsburgh, PA 15222",Y,Golden Triangle/Civic Arena,2,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a)(3) Harassment No Legitimate Purpose,201,6,6,-80.00125059,40.43891788
2802312,16000024,4,2016-01-01T00:16:00,"500 Block Mt Pleasant RD Pittsburgh, PA 15214",N,Northview Heights,1,PROP MISSILE INTO OCC VEHICLE/OR ROADWAY,2705 Recklessy Endangering Another Person. / 3304 Criminal Mischief. / 2707.1 Discharge of a Firearm into Occupied Structure,2609,1,1,-80.00096629,40.47865057
2802321,16000045,23,2016-01-01T00:24:00,"1300 Block E CARSON ST Pittsburgh, PA 15203",Y,South Side Flats,3,PUBLIC DRUNKENESS,5505 Public Drunkenness / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,1702,3,4,-79.98517511,40.42860697
2802313,16000031,4,2016-01-01T00:44:00,"1200 Block Lakewood ST Pittsburgh, PA 15220",Y,Elliott,6,AGG ASSAULT/OTHER/INJURY,2702 Aggravated Assault.,2020,2,5,-80.04114714,40.44795566
2802339,16000077,23,2016-01-01T00:45:00,"1500 Block E Carson ST Pittsburgh, PA 15203",Y,South Side Flats,3,PUBLIC DRUNKENESS,5505 Public Drunkenness / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,1702,3,4,-79.98330671,40.42868483
2802343,16000083,10,2016-01-01T00:55:00,"1200 Block Nolan CT Pittsburgh, PA 15221",Y,Homewood North,5,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1301,9,2,-79.88689291,40.45943104
2801341,16000884,5,2016-01-01T01:00:00,"2400 Block Berg ST Pittsburgh, PA 15203",N,South Side Slopes,3,BURGLARY/FORCE ENT/RES,3502 Burglary.,1608,3,4,-79.97238232,40.41960921
2802326,16000062,22,2016-01-01T01:00:00,"E Carson ST & S 17th ST Pittsburgh, PA 15203",Y,South Side Flats,3,LIQUOR LAWS-OTHER,601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,1702,3,4,-79.98204758,40.42883493
2803908,16004037,10,2016-01-01T01:00:00,"1000 Block Brushton AV Pittsburgh, PA 15221",Y,Homewood North,5,RECKLESSLY ENDANGER ANOTH PER,607.03 Discharging Firearm or Airgun / 9999 Miscellaneous Report (No Crime),1301,9,2,-79.88766414,40.45654294
2802325,16000059,10,2016-01-01T01:03:00,"400 Block North Shore DR Pittsburgh, PA 15212",Y,North Shore,1,SIMPLE ASSAULT/INJURY,2701 Simple Assault. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,2205,1,6,-80.01233658,40.44626305
2802336,16000073,23,2016-01-01T01:14:00,"100 Block 9th ST Pittsburgh, PA 15222",Y,Golden Triangle/Civic Arena,2,PUBLIC DRUNKENESS,5505 Public Drunkenness / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,201,6,6,-79.99905,40.44509999
2802386,16000123,99,2016-01-01T01:15:00,"100 Block Laughlin AV Pittsburgh, PA 15210",N,Carrick,3,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2902,4,4,-79.98911626,40.40407521
