id,neighborhood,under18
1,Beechview,1314
2,Crawford-Roberts,459
3,Central Northside,496
4,Bedford Dwellings,405
5,South Side Slopes,437
6,South Side Flats,232
7,Lower Lawrenceville,341
8,Banksville,401
9,Homewood North,1151
10,Bon Air,177
11,Central Oakland,193
12,Brighton Heights,1298
13,Brookline,2540
14,Hazelwood,928
15,Squirrel Hill South,2333
16,Spring Garden,140
17,Lincoln-Lemington-Belmar,829
18,Windgap,266
19,Troy Hill,365
20,Westwood,699
21,Perry South,902
22,Homewood West,158
23,Allegheny Center,85
24,Strip District,26
25,Stanton Heights,831
26,Crafton Heights,941
27,West Oakland,202
28,East Carnegie,86
29,Duquesne Heights,392
30,East Liberty,1088
31,Esplen,16
32,Fairywood,119
33,Highland Park,1332
34,Upper Lawrenceville,415
35,Fineview,222
36,Regent Square,225
37,Garfield,830
38,Greenfield,1125
39,South Oakland,193
40,Allentown,754
41,Hays,87
42,Elliott,675
43,Morningside,621
44,Terrace Village,439
45,Larimer,425
46,Carrick,2153
47,Central Lawrenceville,326
48,Lincoln Place,667
49,Manchester,404
50,Marshall-Shadeland,963
51,Sheraden,1468
52,Beltzhoover,207
53,Shadyside,848
54,Mount Washington,1023
55,Oakwood,155
56,Bloomfield,757
57,Perry North,704
58,Upper Hill,234
59,New Homestead,750
60,Spring Hill-City View,678
61,Swisshelm Park,257
62,Bluff,120
63,Middle Hill,323
64,West End,0
65,Polish Hill,73
66,Point Breeze North,1133
67,Squirrel Hill North,1569
68,East Allegheny,150
