id,name,neighborhood
731501774,Able Long Playground,Beechview
1461276747,Albert Graham Playground,Crawford-Roberts
1860709784,Alpine Playground,Central Northside
1770671485,Alton Playground,Beechview
18942817,Ammon Playground,Bedford Dwellings
230731204,Arlington Playground,South Side Slopes
420573029,Armstrong Playground,South Side Flats
113170092,Arsenal Playground,Lower Lawrenceville
2089697067,August WIlson Playground,Crawford-Roberts
2124405123,Banksville Playground,Banksville
202656658,Baxter Playground,Homewood North
966305264,Bon Air Playground,Bon Air
1687972299,Boundary Street Playground,Central Oakland
966240511,Brighton Heights Playground,Brighton Heights
2126090864,Brookline Playground,Brookline
580160987,Bud Hammer Playground,Hazelwood
1701961450,Burgwin Playground,Hazelwood
181350957,Camp David Lawrence Playground,Squirrel Hill South
1547988913,Catalono Playground,Spring Garden
1563114682,Chadwick Playground,Lincoln-Lemington-Belmar
130973977,Chartiers Playground,Windgap
1301356592,Cowley Playground,Troy Hill
522345998,Crafton Heights Playground,Westwood
2048022362,Cross and Strauss Playground,Perry South
1588488658,Dallas Playground,Homewood West
1986444282,Davis Playground,Squirrel Hill South
740206795,Deer Pit Playground,Allegheny Center
1648138070,Denny Playground,Strip District
54638482,Dinan Playground,Stanton Heights
1242899117,Dunbar Playground,Crafton Heights
838146164,Dunseith Playground,West Oakland
1285533497,East Carnegie Playground,East Carnegie
1219022982,Eileen McCoy Playground,Duquesne Heights
727148815,Eleanor St. Playground,South Side Slopes
1542270554,Enright Playground,East Liberty
1539482547,Esplen Playground,Esplen
1210727862,Eric Guy Kelly Playground,Fairywood
117423564,Farmhouse Playground,Highland Park
1359278006,Fifty-Seventh St Playground,Upper Lawrenceville
232581452,Fineview Playground,Fineview
1892258603,Forbes and Braddock Playground,Regent Square
190774095,Fort Pitt Playground,Garfield
1747939010,Four Mile Run Playground,Greenfield
589541836,Frazier Playground,South Oakland
1331930548,Frick Beechwood Playground,Squirrel Hill South
2110107146,Garland Playground,East Liberty
1047459498,Grandview Playground,Allentown
1068976003,Granville Playground,Crawford-Roberts
937941714,Hays Playground,Hays
276806708,Herschel Playground,Elliott
82940829,Heth's Playground,Morningside
175255398,Highland Park Super Playground,Highland Park
252444280,Jefferson Playground,Central Northside
189445771,Joe Natoli Playground,Morningside
1897804015,Kennard Playground,Terrace Village
438041702,Larimer Playground,Larimer
1427318856,Lawn & Ophelia Playground,South Oakland
561282176,Leolyn Playground,Carrick
634645752,Leslie Playground,Central Lawrenceville
1213033315,Lewis Playground,Hazelwood
476088153,Lincoln Place Playground,Lincoln Place
2033291368,Lookout Street Playground,Troy Hill
1885004322,Magee Playground,Greenfield
273319228,Manchester Playground,Manchester
10851838,Marmaduke Playground,Brighton Heights
590202695,Marshall-California Playground,Marshall-Shadeland
1371171404,McBride Playground,Lincoln Place
278550634,McCandless Playground,Upper Lawrenceville
1097984790,McGonigle Playground,Sheraden
481264091,McKinley Bausman Playground,Beltzhoover
430851645,McKinley Playground,Beltzhoover
1633349721,McKnight Playground,Manchester
1848275119,Mellon Playground,Shadyside
1340656731,Monongahela Playground,South Side Slopes
850398741,Moore Playground,Brookline
1454599314,Mt. Washington Playground,Mount Washington
391249223,Mutual Playground,Sheraden
1291198593,Nelson Mandela Playground,Garfield
1768404090,Niagara Playground,South Oakland
2024492541,North Ave. Playground,Allegheny Center
289346967,Oakwood Playground,Oakwood
83394355,Olympia Playground,Mount Washington
314635447,Ormsby Playground,South Side Flats
536446250,Osceola Playground,Bloomfield
862428637,Paul Sciullo Jr. Playground,Bloomfield
698726686,Pauline Playground,Beechview
1540689442,Paulson Playground,Lincoln-Lemington-Belmar
56408132,Phillips Playground,Carrick
1898216923,Pool Grove Playground,Highland Park
426080827,Ream Playground,Mount Washington
1328645355,Rhododendron Playground,Highland Park
1692086591,Riverview Playground,Perry North
672958008,Robert E. WIlliams Playground,Upper Hill
361649029,Roland Lockridge Playground,New Homestead
1036798577,Schenley Anderson Playground,Squirrel Hill South
1804385194,Schenley Bartlett Playground,Squirrel Hill South
1674194853,Schenley Oval Playground,Squirrel Hill South
1110287402,Schenley Overlook Playground,Squirrel Hill South
825098356,Sheraden Lower Playground,Sheraden
1988563903,Sheraden Upper Playground,Sheraden
351955429,Southside Playground,South Side Slopes
387216005,Spring Hill Playground,Spring Hill-City View
296992435,Joseph Kukuruda Playground,Crafton Heights
569607016,Sue Murray Playground,Allegheny Center
31215382,Swisshelm Playground,Swisshelm Park
511717453,Townsend Playground,Elliott
852729738,Tropical Playground,Beechview
591336787,Tustin Playground,Bluff
1374386417,Vanucci Playground,Beechview
1159646462,Vietnam Veteran's Playground,Squirrel Hill South
937517112,Vincennes Playground,Middle Hill
826850269,Wabash Playground,West End
1243066156,Warrington Playground,Beltzhoover
54856120,West End Playground,Elliott
1425289349,West Penn Playground,Polish Hill
1038792577,Westinghouse Playground,Point Breeze North
680315308,Wightman Playground,Squirrel Hill North
1998890669,Winters Playground,South Side Slopes
815926730,Woods Run Playground,Marshall-Shadeland
1137558943,Martin Luther King Playground,Allegheny Center
1199980206,Phillips Lower Playground,Carrick
2108783707,Duncan Park Playground,Upper Lawrenceville
675610013,McKinley Upper Playground,Beltzhoover
1683700344,Liberty Green Playground,East Liberty
311422075,Spring Garden Ave Playground,East Allegheny
